Gene,Importance
GENE_0003,0.10865159069317004
GENE_0002,0.06917532986611628
GENE_0004,0.061418026896308625
GENE_0036,0.03922810539534702
GENE_0001,0.03803167071438289
GENE_0037,0.03238898826628642
GENE_0034,0.028379989390487605
GENE_0000,0.027848808294650827
GENE_0005,0.02573260408388194
GENE_0044,0.023806947627358386
GENE_0011,0.022666530708718102
GENE_0045,0.021094009073148352
GENE_0046,0.019564024230399372
GENE_0032,0.019539388070707157
GENE_0017,0.019077805708523493
GENE_0014,0.019049271884177155
GENE_0022,0.01804816429215683
GENE_0030,0.017834720285079604
GENE_0049,0.017034253724050784
GENE_0013,0.01679646582843779
GENE_0024,0.015928463382708164
GENE_0026,0.015426128001415587
GENE_0009,0.015385025322277191
GENE_0021,0.015009276136182808
GENE_0028,0.014780472605491098
GENE_0025,0.014733728371122525
GENE_0043,0.01440490710600405
GENE_0035,0.014391998383490312
GENE_0029,0.014284111860834567
GENE_0048,0.01426723305144764
GENE_0016,0.013817711701399196
GENE_0041,0.012965215099664763
GENE_0042,0.012636685199076264
GENE_0040,0.012589118716117509
GENE_0031,0.012540936192187173
GENE_0023,0.012310488584554732
GENE_0018,0.012308694525276106
GENE_0038,0.01149967462687212
GENE_0006,0.010896236623178283
GENE_0019,0.010601971902294859
GENE_0007,0.009853641202933597
GENE_0008,0.009527827417062833
GENE_0010,0.00940051820547342
GENE_0015,0.009027400860215286
GENE_0039,0.009025500383361838
GENE_0020,0.008720943955157559
GENE_0047,0.0075964330809104134
GENE_0027,0.0075475562287227555
GENE_0012,0.007146519468158428
GENE_0033,0.006008886773020301
