SMILES,Compound_Name,Molecular_Weight,AlogP98,PSA_2D,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Heavy_Atoms,Formal_Charge,Molar_Refractivity,ADMET_Absorption_Level,ADMET_Absorption_Description,ADMET_Absorption_T2_2D,ADMET_AlogP98,ADMET_PSA_2D,ADMET_Solubility_Level,ADMET_Solubility_Description,ADMET_Drug_Likeness,ADMET_LogSw,ADMET_BBB_Level,ADMET_BBB_Color,ADMET_LogBB,ADMET_CYP2D6_Score,ADMET_CYP2D6_Inhibitor,ADMET_CYP2D6_Applicability,ADMET_CYP2D6_MD,ADMET_CYP2D6_MDpvalue,ADMET_Hepatotoxic_Score,ADMET_Hepatotoxic,ADMET_Hepatotoxic_Applicability,ADMET_Hepatotoxic_MD,ADMET_Hepatotoxic_MDpvalue,ADMET_PPB_Score,ADMET_PPB_HighBinding,ADMET_PPB_Applicability,ADMET_PPB_MD,ADMET_PPB_MDpvalue
C([H])([H])([H])OC([H])([H])C([H])([H])[N+]([H])(C([H])([H])c1c([H])c([H])c(c(c1[O-])F)F)C([H])([H])c2c([H])c([H])c([H])o2,Compound_1,297.30099999999993,0.8628999999999998,49.870000000000005,1,3,7,2,21,0,69.62570000000004,1,Moderate,7.9405,0.86,49.87,3,Good,"Yes, good",-3.025,Medium,cyan,-0.498,0.3333,Yes,Reliable,1.047,0.5925,-5.0,No,Reliable,1.047,0.5925,-2.9425,No,Reliable,1.047,0.5925
O=C1C([H])([H])C([H])([H])N(C([H])([H])C1(F)F)C([H])([H])c2c([H])c(c(c([H])c2O[H])Cl)F,Compound_2,293.67199999999997,2.5948000000000015,40.540000000000006,1,3,2,1,19,0,62.922800000000024,1,Moderate,6.5198,2.59,40.54,3,Good,"Yes, good",-3.909,Medium,cyan,-0.096,0.4342,Yes,Reliable,0.795,0.672,-5.0,No,Reliable,0.795,0.672,-2.3333,No,Reliable,0.795,0.672
