Name,Canonical_SMILES,SMILES
ZINC001232259014,Oc1cc([O-])c(Cl)cc1C[NH+]2CC(F)(C2)C3CC3,[O-]c1c([H])c(c(c([H])c1Cl)C([H])([H])[N+]2([H])C([H])([H])C(C2([H])[H])(C3([H])C([H])([H])C3([H])[H])F)O[H]
ZINC001232259014,Oc1cc([O-])c(Cl)cc1CN2CC(F)(C2)C3CC3,[O-]c1c([H])c(c(c([H])c1Cl)C([H])([H])N2C([H])([H])C(C2([H])[H])(C3([H])C([H])([H])C3([H])[H])F)O[H]
ZINC000883050802,[O-]c1c(F)cc(F)cc1CNc2cnn(CC(F)F)c2,[O-]c1c(c([H])c(c([H])c1C([H])([H])N([H])c2c([H])n(nc2[H])C([H])([H])C([H])(F)F)F)F
ZINC000883203852,CCn1ncc(NCc2cc(F)cc(F)c2[O-])c1C,C([H])([H])([H])C([H])([H])n1nc([H])c(c1C([H])([H])[H])N([H])C([H])([H])c2c([H])c(c([H])c(c2[O-])F)F
ZINC000825451237,Cc1cc(O)c(C[NH+]2CCCC3(C2)OCCO3)cc1Cl,C([H])([H])([H])c1c([H])c(c(c([H])c1Cl)C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C([H])([H])C3(OC([H])([H])C([H])([H])O3)C2([H])[H])O[H]
ZINC000825451237,Cc1cc(O)c(CN2CCCC3(C2)OCCO3)cc1Cl,C([H])([H])([H])c1c([H])c(c(c([H])c1Cl)C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C3(OC([H])([H])C([H])([H])O3)C2([H])[H])O[H]
ZINC001237621467,C[NH+](Cc1cnc(C)nc1)Cc2cc(Cl)cc(F)c2O,C([H])([H])([H])c1nc([H])c(c([H])n1)C([H])([H])[N+]([H])(C([H])([H])c2c([H])c(c([H])c(c2O[H])F)Cl)C([H])([H])[H]
ZINC001237621467,CN(Cc1cnc(C)nc1)Cc2cc(Cl)cc(F)c2O,C([H])([H])([H])c1nc([H])c(c([H])n1)C([H])([H])N(C([H])([H])c2c([H])c(c([H])c(c2O[H])F)Cl)C([H])([H])[H]
ZINC001237621467,CN(Cc1cnc(C)nc1)Cc2cc(Cl)cc(F)c2[O-],C([H])([H])([H])c1nc([H])c(c([H])n1)C([H])([H])N(C([H])([H])c2c([H])c(c([H])c(c2[O-])F)Cl)C([H])([H])[H]
ZINC000042411926,Cn1cc(NCc2cccc(Br)c2O)cn1,C([H])([H])([H])n1c([H])c(c([H])n1)N([H])C([H])([H])c2c([H])c([H])c([H])c(c2O[H])Br
