Property,Value
Molecular_Formula,C29H31N7O
Molecular_Weight,493.61499999999967
Num_Atoms,68
Num_Bonds,72
Num_Heavy_Atoms,37
Num_Rotatable_Bonds,9
Num_HBD,2
Num_HBA,7
TPSA,86.28000000000002
LogP,4.590320000000003
